id;code;name;type;parent_org_id;primary_contact_id;org_head;location_id;website;layout;table_ky;is_active;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;extra_fields;build_file_path;short_name;vat_no;module_ky;hash_code;hash_certificate
1;brand Soap Generic;Islands;47401;21605;49384;77062;38812;Account Specialist;connect paradigms parse;46917;53796;86488;65;2022-10-06;73918;2022-10-07;53691;2022-10-07;Chair Alabama;Hryvnia;Maine Texas overriding;Steel Future;Kina;repurpose Minnesota Chair;27102;haptic Mouse Supervisor;transmitter Rubber Ports
2;New Home Metal;Central Plastic Director;60777;58318;48344;67299;25606;fuchsia;sexy Investor;70978;43622;78693;33084;2022-10-06;17897;2022-10-06;27174;2022-10-06;Gorgeous Lithuania Cotton;Highway SMTP;SQL Toys connect;Electronics SSL;facilitate capacitor silver;Quality;1495;Branding;deposit
3;indigo quantifying SMTP;Buckinghamshire neural;25237;3214;77194;47240;16709;Home;Tasty;68563;30663;548;69907;2022-10-06;60497;2022-10-06;2827;2022-10-07;RSS;Vietnam Metal white;dot-com grow Washington;killer Wooden;ROI;Applications Beauty;15317;quantify Chair Fantastic;Handmade Profound encompassing
4;Licensed value-added;generating PNG;62111;32492;57153;55610;49737;Director Ball application;Beauty Market;49182;41499;50610;77397;2022-10-07;71003;2022-10-07;40749;2022-10-06;South Specialist;payment;discrete;Arab Pants;Washington;Botswana Bacon;28733;Missouri TCP;Chicken
5;port;Dollar Refined Garden;46615;63023;73695;20007;33609;HDD deposit salmon;withdrawal cross-platform Loan;82122;75255;81823;96476;2022-10-06;604;2022-10-06;1249;2022-10-06;Producer digital;Industrial Granite;Operations;XML;Account Leone multi-byte;Illinois users;17635;(EURCO) Web;paradigms Practical support
6;Views Organized;auxiliary optical;1506;95740;20543;54623;23753;Indiana Cape violet;Bedfordshire array Plastic;66354;58882;92162;61298;2022-10-06;16103;2022-10-07;90224;2022-10-07;Games compelling Customizable;Marketing;Analyst alarm;Granite Handmade;Car Plastic;Fresh;6837;whiteboard Reduced sensor;best-of-breed Computers transmit
7;bleeding-edge Fresh;extensible Coordinator Awesome;60627;559;34903;93433;33877;Product bricks-and-clicks open-source;Wooden Implementation Intranet;28363;71422;31433;88046;2022-10-06;5640;2022-10-06;73469;2022-10-06;Specialist;TCP;sky Alaska;Cliffs Home Course;alliance Principal;Research Incredible;77946;demand-driven;Officer Synergistic
8;Borders;Islands interface Loan;55488;56933;78669;59203;44221;calculating Account;Loan mission-critical Sausages;55604;7321;14351;54322;2022-10-06;41193;2022-10-06;79932;2022-10-06;Key Awesome;Bedfordshire;e-business;projection;morph tan IB;paradigms Representative concept;58596;Home methodologies;ADP Manager
9;Bike Plastic;Planner Sports Bhutan;9831;3543;7033;56417;91587;Cheese;Plastic SCSI Avon;85459;36190;78134;19879;2022-10-06;78925;2022-10-07;46767;2022-10-06;Azerbaijanian;Strategist;bus;Metrics Loan;Djibouti;and Bacon Hill;51085;programming Paradigm Home;frictionless
10;hack Nakfa Steel;Frozen;23865;80130;67071;17793;68481;Home;Dynamic primary;74235;62514;16683;43972;2022-10-06;19649;2022-10-07;10462;2022-10-06;drive e-business Associate;neural supply-chains;groupware compress;Balboa Freeway;payment system;Michigan brand Intranet;57875;Consultant;North supply-chains
