id;name;address_type;address_ln_1;address_ln_2;address_ln_3;address_ln_4;landmark;village;city;district;state;parent_table_id;parent_module_ky;parent_table_ky;pin;country;is_active;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;extra_fields;zone;org_id;hist;column_1
1;mindshare Interactions Versatile;76591;Configuration;Kansas index;Solutions Chicken;Dakota Customer;Corporate Mandatory;42173;3154;49465;74653;28260;27410;59832;Producer;15869;2384;62470;74962;2022-10-07;96591;2022-10-06;17893;2022-10-07;Table invoice;Berkshire Designer the;solution policy Grove;83656;17379;24925;Timor-Leste
2;Skyway Account;73256;Alaska;Guilder;Human National Soap;calculating Shoes;HTTP grow USB;22479;69017;44673;54375;15170;83205;63997;object-oriented override;32889;80156;84147;68950;2022-10-07;57589;2022-10-06;97939;2022-10-06;Accounts blue invoice;Administrator Borders Greece;Identity calculate bus;18262;76299;65539;multi-tasking Supervisor
3;disintermediate Architect Gloves;63644;Account;Personal calculating;Shoes;circuit;Grass-roots Identity;60969;21866;15156;12132;72951;66550;78723;COM;6923;24380;31117;5211;2022-10-06;85089;2022-10-07;79010;2022-10-07;compelling Haven Plastic;invoice Steel CSS;Extended copying optimize;12462;95188;93134;Director
4;Soft;20160;generation Grocery;application;Beauty Court;mint Ramp;Chicken killer cyan;33282;43012;18375;20742;23508;37724;48290;Barbados Interactions;99350;28947;56750;5857;2022-10-07;46302;2022-10-07;43483;2022-10-07;cross-platform;Jewelery Account Industrial;generate solid Fresh;66033;55932;70307;system integrated Concrete
5;Ergonomic microchip Toys;21768;models;web-enabled invoice;architecture payment Frozen;Program;Producer primary;21045;67717;56555;88034;67670;76102;80542;Avon;72300;20973;67074;8704;2022-10-06;76515;2022-10-06;77494;2022-10-07;Borders;Massachusetts defect;application;8149;45519;27127;Pants indigo
6;analyzing Investor leverage;76096;Towels auxiliary;Mexico;Gibraltar;metrics FTP;open-source Tuna Pennsylvania;59794;22882;93946;44549;70980;80354;91826;Nuevo Baby Keyboard;40543;34033;75950;75771;2022-10-06;75996;2022-10-06;48885;2022-10-06;neural;Bedfordshire;payment withdrawal;20198;79379;64108;Gloves Avon Ball
7;California;6045;National synthesizing payment;Soft;firewall;Implementation;disintermediate orchid Baht;68609;8716;3571;9904;27866;86084;18953;Networked explicit Handcrafted;36243;12998;77873;53317;2022-10-06;53219;2022-10-06;44157;2022-10-07;back-end Qatar;Clothing;PNG;25274;81276;3255;Concrete solutions
8;York;6366;generate;Awesome;fresh-thinking;virtual Views;salmon Kentucky;57012;3990;87503;44111;88936;70196;40410;Handmade Clothing;8094;80741;94365;37468;2022-10-06;89395;2022-10-07;13128;2022-10-07;Nicaragua;Home;Track;95292;97697;35809;transform Utah Cedi
9;Coordinator Regional Enhanced;50548;Incredible North;purple Computers;Rustic foreground;Markets Universal;Unbranded Saint;732;4745;79161;8249;45742;8452;75149;navigating;8595;57009;97178;17253;2022-10-06;60786;2022-10-06;93961;2022-10-06;Fresh SCSI;Swiss syndicate;Avon;57687;62168;48293;flexibility Consultant
10;Awesome index programming;54108;Coordinator Books Fresh;Cambridgeshire;intuitive IB invoice;haptic Groves;Internal;88537;50251;57384;718;74326;88568;49412;input Chicken bus;80081;73038;69401;421;2022-10-07;31430;2022-10-06;31183;2022-10-07;Illinois;copy generating;deliver indexing architectures;95812;97073;41030;Account methodologies zero
